Experiment Name, Number of Applications, Duration, All Received?, Latency Average, Latency SD, Latency Max, Latency Min, Thoughput Average, Thoughput SD, Thoughput Max, Throughput Min
20-1-2000000, 1, 181, true, 626.9389667654992, 45.191640475187455, 727.6479400749064, 596.3262955854127, 1900.3883158098226, 773.5458153579193, 2286.3845230953807, 178.4077
20-1-4000000, 1, 182, true, 634.3697127833295, 43.90381473138864, 731.723230107164, 609.2864605223657, 4617.301351869612, 1696.9150259948979, 5582.149685031497, 1021.5267
20-1-6000000, 1, 182, true, 640.9368809787485, 38.55861356044011, 723.0301519356508, 617.8555251854744, 8938.899592645272, 3347.6543665244735, 10967.100089991001, 1960.3146685331467
20-1-8000000, 1, 182, true, 684.3225633264525, 14.315984284917514, 698.3743396226415, 654.327435668386, 14529.868058830427, 5702.011172091878, 17834.60347930414, 2644.6307369263072
20-1-10000000, 1, 190, false, 4395.78725015648, 3991.124740292056, 12932.033333333333, 807.7946556993887, 16970.561983265954, 7349.7209134361, 21657.284657671164, 19.8856
20-1-12000000, 1, 201, false, 10081.624630206668, 7917.856577634007, 24685.16393442623, 830.3418141810251, 17690.364478696818, 6873.076782824558, 21238.239852029594, 60.4146
20-1-14000000, 1, 210, false, 14758.001215805663, 9723.780128021765, 31009.591111111113, 986.0730174175343, 17643.461757493893, 6905.705087237047, 21843.820635872824, 149.8092
20-1-16000000, 1, 210, false, 15897.895778666822, 10177.43136980558, 33814.13074204947, 1063.5878908112852, 17667.331679149578, 6504.52214101899, 21081.357128574284, 92.99120087991201
20-1-18000000, 1, 210, false, 16371.961121796074, 10206.165988718305, 34183.42102065613, 1073.1327210585607, 18196.193872737473, 6392.973946454753, 21297.243651269746, 546.4043595640436
20-1-20000000, 1, 211, false, 16575.55800474553, 9612.16336093932, 30184.28437917223, 1064.5856153456334, 18334.341522530092, 6411.522796483017, 21517.16976604679, 498.5234
32-1-3200000, 1, 182, true, 631.7434355678953, 36.737756260436996, 704.6099106233737, 600.5578225740635, 3385.4669490910337, 1257.3987276028627, 4031.6644335566443, 697.1031
32-1-6400000, 1, 182, true, 654.4597443346083, 24.71907653806263, 710.006168608636, 641.3834573554665, 9986.075702799364, 3836.781039193949, 12258.016298370163, 1967.6568343165684
32-1-9600000, 1, 182, true, 742.7494778155306, 27.636414053751675, 766.5365152528932, 687.9602379206387, 18520.375742156775, 7201.299847240585, 22950.07099290071, 4099.316868313169
32-1-12800000, 1, 184, true, 1105.388452347244, 161.75710682241652, 1235.946913031173, 802.1806888571234, 26137.31033518787, 9114.963429594858, 31906.082167133147, 8180.8942423030785
32-1-16000000, 1, 194, true, 4673.083485865114, 3894.5904939706343, 12887.760604299825, 883.8963038515712, 25972.316862133986, 11097.81897365493, 33039.81798201798, 574.634
32-1-19200000, 1, 198, false, 6245.721869963359, 4477.269644911918, 14064.275863022029, 944.4324999173199, 27806.81772470344, 7600.175120819268, 33325.28855572214, 12072.109145427286
32-1-22400000, 1, 194, true, 5632.569018806373, 4077.851803477284, 13352.78157480315, 1016.2256135018914, 27370.98407018678, 11144.832713583179, 34916.34669198481, 2118.7309269073094
32-1-25600000, 1, 189, true, 4269.106935351869, 3452.5366119836494, 12041.733333333334, 1010.3732675053718, 25838.291889258355, 11587.742653760486, 33628.942811437715, 24.6293
32-1-28800000, 1, 195, false, 6275.9046625562005, 4764.108766509797, 15472.909330774766, 1033.9949257875774, 28005.98883540809, 9757.745657410964, 34822.77541229385, 6827.867826434713
32-1-32000000, 1, 197, false, 5163.226228818761, 4080.9062857468284, 13370.253825105021, 831.4543697157667, 26875.95021577739, 9347.171808092833, 33973.02489502099, 8650.75577326802
16-1-1600000, 1, 182, true, 639.0991305764728, 50.22759928732934, 743.574311426234, 606.1936053354257, 1448.2166353408672, 502.43926047223243, 1721.9649140343863, 385.2525747425257
16-1-3200000, 1, 182, true, 636.3314361135472, 51.355850931501784, 752.0635049161365, 606.0177319587629, 3498.530350668844, 1273.841420565958, 4191.27107289271, 813.2462753724627
16-1-4800000, 1, 182, true, 651.0489177722894, 34.84978841333294, 725.607214162119, 622.1516684901532, 6195.324690574999, 2183.4334859564656, 7478.823117688231, 1665.109389061094
16-1-6400000, 1, 182, true, 666.4937745420297, 24.60530167857229, 717.3183028286189, 649.2648577717575, 9869.78825207951, 3791.0354989467833, 12111.381461853814, 1989.6554344565543
16-1-8000000, 1, 185, true, 853.297866607341, 132.93274533722436, 1011.882830327202, 704.0122708295517, 13973.704476537428, 4755.059658484951, 16966.150384961504, 5237.010797840432
16-1-9600000, 1, 200, false, 7837.657333553743, 6007.102249138089, 18481.94585089602, 783.682401753562, 14105.450692053779, 5602.614346355095, 17859.115488451156, 0.008
16-1-11200000, 1, 209, false, 12275.000039837987, 8425.88339007516, 25791.19908000466, 725.3444749550232, 15449.376924709517, 2509.434799270622, 17321.061281615515, 10615.514291425145
16-1-12800000, 1, 212, false, 16143.535982060046, 10110.224632441817, 34175.73213046495, 1011.2808377501226, 14353.66139082826, 5156.469840051389, 16950.026394721055, 477.7787221277872
16-1-14400000, 1, 212, false, 17648.58262924311, 9767.654279352231, 30675.34068050503, 1143.8071294117647, 14656.137376873961, 4700.016409847438, 17121.794520547945, 1528.0311
16-1-16000000, 1, 214, false, 18969.518460953263, 10714.99810105397, 31227.539906103288, 1073.5490428917494, 14916.397189655836, 4313.234239271209, 16847.220455908817, 2849.5736426357366
8-1-800000, 1, 182, true, 636.1540573682377, 31.384299465059552, 690.861985472155, 611.5638481449525, 659.4693171740989, 238.15912951636153, 790.2551744825518, 137.3676
8-1-1600000, 1, 182, true, 642.09792147611, 44.710803833049575, 740.6349246872606, 618.474865885158, 1456.877273755361, 524.3507172953356, 1734.7622713186045, 320.034096590341
8-1-2400000, 1, 182, true, 659.3392995724064, 42.1532243925653, 742.0957680250783, 620.2327932756731, 2374.297076065642, 834.773417992944, 2835.652269546091, 567.9199
8-1-3200000, 1, 182, true, 671.9519375680791, 33.98515757898145, 728.1283783783783, 643.8647097408987, 3467.2531321595866, 1207.7427286078541, 4136.00099990001, 913.0417
8-1-4000000, 1, 182, true, 679.3440883594425, 24.272161651743755, 732.7659847641872, 663.4705532421178, 4794.719823196225, 1727.1448317441457, 5774.1099890011, 1179.251
8-1-4800000, 1, 182, true, 704.8840881066304, 15.858439753920054, 737.0353319057816, 691.1695849993106, 6311.248773211254, 2393.3022536914004, 7715.2134, 1253.6512348765123
8-1-5600000, 1, 191, false, 4392.192215897656, 4141.3223136947, 13003.10447761194, 814.443098356932, 6975.88037866307, 2933.2435169362666, 8907.389122175566, 45.2178
8-1-6400000, 1, 202, false, 10822.516621338624, 8096.050459144977, 24985.677450507003, 809.9156161679601, 7359.274837956331, 2520.0676466663826, 8605.568343165683, 694.8086
8-1-7200000, 1, 209, false, 13191.618813427738, 8325.926393143633, 26420.842714480255, 1034.4886865590913, 7909.151604995753, 857.5150485131488, 8411.316268373163, 5816.940705929407
8-1-8000000, 1, 209, false, 14899.88459696636, 8456.873448697888, 26835.292507790273, 1173.9081676646706, 8099.643486728051, 526.0899561078553, 8622.78174365127, 7009.874150339864
4-1-400000, 1, 182, true, 622.7295444533431, 44.26419115265776, 718.6996507566938, 592.2750439367311, 323.8210446248734, 115.7387559000918, 391.68863113688633, 74.6386
4-1-800000, 1, 182, true, 623.5795279885584, 45.96561729530088, 722.4870641169854, 581.2503265128429, 662.9838870466604, 234.4140320919919, 797.9108178364327, 158.9491
4-1-1200000, 1, 182, true, 653.5892789073312, 42.489743222793486, 748.3091039942425, 625.1000811468758, 1050.8960738034689, 371.64684131286396, 1260.2779444111177, 251.8545
4-1-1600000, 1, 182, true, 655.5598168026536, 42.06558943251134, 747.0130106687484, 632.7393067099129, 1465.5389149259083, 539.0070957104699, 1783.2938412317537, 302.4970502949705
4-1-2000000, 1, 182, true, 668.3537707335403, 32.13485021419549, 739.2324761509747, 646.0237918215613, 1878.628569668548, 669.7428426834153, 2261.7602239776024, 453.0683
4-1-2400000, 1, 182, true, 678.6503026508954, 29.272833109265473, 740.6619281045752, 650.5415788240806, 2377.567478344708, 840.6898322118808, 2851.627074585083, 589.8032196780322
4-1-2800000, 1, 181, true, 685.3637564747906, 31.35094118443728, 750.4107883817427, 649.984631147541, 2845.408045161144, 1120.7894200610524, 3605.225554889022, 396.2914708529147
4-1-3200000, 1, 184, true, 915.7831837518137, 265.38593549766483, 1404.0266982088544, 693.2194185856606, 3486.6491019215923, 1186.18475388023, 4147.961607678464, 994.2028
4-1-3600000, 1, 193, false, 5381.387712955472, 4212.81346055351, 13162.873800738007, 797.544744388411, 3575.37543399918, 1288.5368365910533, 4173.329734053189, 453.6456
4-1-4000000, 1, 201, false, 10555.95040375751, 7526.119812688623, 23407.152671755724, 967.902584123443, 3621.483094149922, 1321.7266625515556, 4204.0446, 131.52694730526946
2-1-200000, 1, 182, true, 633.7675503578396, 26.58820397114178, 677.0704960835509, 595.2780952380953, 153.61029686888452, 55.51568285338547, 195.21507849215078, 38.59084091590841
2-1-400000, 1, 183, true, 629.9347239027408, 28.104554602374904, 690.0969696969697, 605.7437874892888, 331.63460306771503, 105.65909301521555, 397.2624737526247, 111.8764
2-1-600000, 1, 182, true, 644.4065764329611, 52.21987756715743, 754.0235294117647, 607.2300734878462, 491.2560782306167, 176.85058014546854, 611.7240551889622, 107.9154
2-1-800000, 1, 182, true, 647.7921806653551, 50.231340625171406, 751.9418282548477, 610.0526315789474, 664.0770159532659, 229.5747963066925, 815.7288271172882, 169.8573
2-1-1000000, 1, 181, true, 659.5098728508857, 46.56535053254833, 763.9166666666666, 630.3809681697612, 865.5690474506681, 355.72254668712037, 1046.0367926414717, 68.1627
2-1-1200000, 1, 182, true, 657.3586316795328, 44.048128957526025, 755.3481192334989, 632.6164970540975, 1044.0460525754813, 378.7221281079893, 1250.886022795441, 224.25687431256875
2-1-1400000, 1, 182, true, 680.5387556586311, 41.62312336781233, 764.4173088322466, 646.9815315315316, 1235.2950500293277, 446.8768944418936, 1472.2341765823417, 265.4939
2-1-1600000, 1, 182, true, 679.5305903378276, 39.633437939513705, 766.2805679726532, 652.0891010342084, 1477.7585854208978, 534.4748796736893, 1774.7315268473153, 334.04709529047096
2-1-1800000, 1, 183, true, 671.3121738388397, 8.622832019443221, 677.656880733945, 654.3561643835617, 1663.554543284992, 547.2886995194176, 1991.4607078584283, 578.967403259674
2-1-2000000, 1, 186, true, 2096.051212743877, 1485.2194420227643, 4683.748765611385, 721.522670025189, 1910.4925408923725, 369.79822948450266, 2151.471758472458, 1166.6894310568944
1-1-100000, 1, 182, true, 627.2633816673607, 59.62427634584951, 732.502487562189, 571.5783132530121, 75.53354172154214, 28.36742904384545, 96.83451654834516, 15.434856514348565
1-1-200000, 1, 182, true, 645.1683882197325, 47.54932054289576, 752.4939759036145, 620.1113585746102, 159.76539114088592, 60.117135038364374, 194.3983, 27.775122487751226
1-1-300000, 1, 182, true, 646.7510900097086, 37.59813663563286, 723.3875181422351, 602.2587666263603, 248.38019936149246, 87.14086366312262, 300.6167, 58.034396560343964
1-1-400000, 1, 182, true, 664.2022431338206, 63.2818218853242, 803.6041666666666, 619.6601941747573, 316.5780727784365, 116.35910741751249, 391.85001499850017, 65.0512
1-1-500000, 1, 182, true, 658.8509515940617, 42.468380793621506, 750.7966549295775, 623.3021335168617, 412.1876989348495, 149.26006915389885, 512.5281471852815, 87.37226277372262
1-1-600000, 1, 182, true, 688.9383090520847, 54.08023850621368, 806.5522496371553, 648.4521049420379, 489.4565654247393, 171.8385732751428, 585.2628737126288, 112.27697230276972
1-1-700000, 1, 182, true, 663.2268954695659, 54.40522147577229, 783.3851174934725, 628.8031297324584, 572.685491622634, 206.99267021686865, 705.953404659534, 125.8407
1-1-800000, 1, 183, true, 667.3203180793486, 8.198177972458883, 680.6626809314034, 653.2096980008507, 673.6771762563324, 216.8531005400097, 809.5654434556544, 232.6475
1-1-900000, 1, 182, true, 720.098939210274, 35.38619118540458, 779.0165995975855, 678.1328125, 757.406766441932, 271.71029297846366, 914.1558844115589, 172.52804719528046
1-1-1000000, 1, 182, true, 678.1366419276858, 55.36586261533558, 799.1809856083734, 644.6591503267974, 844.5705790631195, 299.3514386462511, 1017.1983801619838, 197.2201
